Company,Region,Vertical,Funding Amount (USD),Funding Stage,Funding Date
mmhmm,United States,B2B Software,100000000,Series B,21-Jul
Suzy,United States,B2B Software,50000000,Series D,21-Jul
MURAL,United States,B2B Software,50000000,Series C,21-Jul
Magic,United States,B2B Software,27000000,Series A,21-Jul
Coda,United States,B2B Software,100000000,Series D,21-Jul
Paystand,United States,B2B Software,50000000,Series C,21-Jul
OneDay,United States,B2B Software,19000000,Series B,21-Jul
Triggermesh,United States,B2B Software,5000000,Seed,21-Jul
NewStore,United States,B2B Software,45000000,Series B,21-Jul
Homebase,United States,B2B Software,71000000,Series C,21-Jul
Zenput,United States,B2B Software,27000000,Series C,21-Jul
Vestwell,United States,B2B Software,70000000,Series C,21-Jul
Smile Identity,United States,B2B Software,7000000,Series A,21-Jul
Virtuous Software,United States,B2B Software,18000000,Series B,21-Jul
Dragonboat,United States,B2B Software,3000000,Seed,21-Jul
OpenSea,United States,Blockchain,100000000,Series B,21-Jul
FTX Exchange,United States,Blockchain,900000000,Series B,21-Jul
Zerion,United States,Blockchain,8200000,Series A,21-Jul
Phantom,United States,Blockchain,9000000,Series A,21-Jul
Index Coop,United States,Blockchain,7700000,Seed,21-Jul
Livepeer,United States,Blockchain,20000000,Series B,21-Jul
Fireblocks,United States,Blockchain,310000000,Series D,21-Jul
Valora,United States,Blockchain,20000000,Series A,21-Jul
Thales,United States,Blockchain,2500000,Seed,21-Jul
Thesis,United States,Blockchain,21000000,Series A,21-Jul
4k.com,United States,Blockchain,3000000,Seed,21-Jul
NFT Oasis,United States,Blockchain,4400000,Series A,21-Jul
Data Mynt,United States,Blockchain,1550000,Seed,21-Jul
Pantheon,United States,Cloud Computing,100000000,Series E,21-Jul
Pendo,United States,Cloud Computing,150000000,Series F,21-Jul
Algolia,United States,Cloud Computing,150000000,Series D,21-Jul
Remote,United States,Cloud Computing,150000000,Series B,21-Jul
Sourcegraph,United States,Cloud Computing,150000000,Series D,21-Jul
Julia Computing,United States,Cloud Computing,24000000,Series A,21-Jul
Stytch,United States,Cloud Computing,30000000,Series A,21-Jul
Dibbs,United States,Cloud Computing,13000000,Series A,21-Jul
Cake,United States,Cloud Computing,3700000,Seed,21-Jul
Kasisto,United States,Cloud Computing,15500000,Series C,21-Jul
Squire,United States,Cloud Computing,60000000,Series D,21-Jul
Cube Dev,United States,Cloud Computing,15500000,Series A,21-Jul
Blameless,United States,Cloud Computing,30000000,Series B,21-Jul
r2c,United States,Cloud Computing,27000000,Series B,21-Jul
Flock Safety,United States,Cloud Computing,150000000,Series D,21-Jul
Hightouch,United States,Cloud Computing,12100000,Series A,21-Jul
GupShup,United States,Cloud Computing,240000000,Series F,21-Jul
Launchable,United States,Cloud Computing,9500000,Series A,21-Jul
Eterneva,United States,Consumer,10000000,Series A,21-Jul
Cybereason,United States,Cyber Security,275000000,Series F,21-Jul
AttackIQ,United States,Cyber Security,44000000,Series C,21-Jul
Deep Instinct,United States,Cyber Security,67000000,Series D,21-Jul
Coralogix,United States,Cyber Security,55000000,Series C,21-Jul
Safe Security,United States,Cyber Security,33000000,Series B,21-Jul
Arctic Wolf,United States,Cyber Security,150000000,Series F,21-Jul
Mark43,United States,Cyber Security,101000000,Series E,21-Jul
The @ Company,United States,Cyber Security,8000000,Seed,21-Jul
Lolli,United States,E-Commerce Software,10000000,Series A,21-Jul
Repeat,United States,E-Commerce Software,6000000,Series A,21-Jul
Sendlane,United States,E-Commerce Software,20000000,Series A,21-Jul
Amperity,United States,E-Commerce Software,100000000,Series D,21-Jul
Fabric,United States,E-Commerce Software,100000000,Series B,21-Jul
Replicated,United States,E-Commerce Software,50000000,Series C,21-Jul
Glossier,United States,E-Commerce Store,80000000,Series E,21-Jul
Ephemeral Tattoos,United States,E-Commerce Store,20000000,Series A,21-Jul
ArtSugar,United States,E-Commerce Store,500000,Seed,21-Jul
Articulate,United States,Education,1500000000,Series A,21-Jul
SoloLearn,United States,Education,24000000,Series B,21-Jul
Microverse,United States,Education,12500000,Series A,21-Jul
OpenSesame,United States,Education,50000000,Series D,21-Jul
Class Technologies,United States,Education,105000000,Series B,21-Jul
Redwood Materials,United States,Energy,700000000,Series C,21-Jul
Camus Energy,United States,Energy,16000000,Series A,21-Jul
Eco,United States,Finance,60000000,Series B,21-Jul
M1 Finance,United States,Finance,150000000,Series E,21-Jul
Mercury,United States,Finance,120000000,Series B,21-Jul
Paro,United States,Finance,25000000,Series B,21-Jul
Sila,United States,Finance,13000000,Series A,21-Jul
Prime Trust,United States,Finance,64000000,Series A,21-Jul
FloQast,United States,Finance,110000000,Series D,21-Jul
iCapital Network,United States,Finance,440000000,Series C,21-Jul
Lithic,United States,Finance,60000000,Series C,21-Jul
Urban Remedy,United States,Food and Beverage,18000000,Series D,21-Jul
Little Spoon,United States,Food and Beverage,44000000,Series B,21-Jul
Meati Foods,United States,Food and Beverage,50000000,Series B,21-Jul
Natureâs Fynd,United States,Food and Beverage,350000000,Series C,21-Jul
Picnic,United States,Food and Beverage,4200000,Series A,21-Jul
MomentRanks,United States,Gaming,1700000,Seed,21-Jul
Community Gaming,United States,Gaming,2300000,Seed,21-Jul
LeagueApps,United States,Gaming,15000000,Series B,21-Jul
Genvid Holdings,United States,Gaming,113000000,Series C,21-Jul
Thrive Global,United States,Human Resources,80000000,Series C,21-Jul
Teamflow,United States,Human Resources,35000000,Series B,21-Jul
Skedulo,United States,Human Resources,75000000,Series C,21-Jul
Songfinch,United States,Human Resources,2000000,Seed,21-Jul
Catch,United States,Insurance,12000000,Series A,21-Jul
Ethos,United States,Insurance,100000000,Series D,21-Jul
INSHUR,United States,Insurance,23400000,Series B,21-Jul
agentero,United States,Insurance,13500000,Series A,21-Jul
Chaka Technologies,United States,Investing,1500000,Pre-Seed,21-Jul
Titan,United States,Investing,58000000,Series B,21-Jul
Tornado,United States,Investing,10000000,Seed,21-Jul
Teikametrics,United States,Investing,40000000,Series B,21-Jul
Hedgehog Markets,United States,Marketplace,3500000,Seed,21-Jul
Lumanu,United States,Marketplace,12000000,Series A,21-Jul
Mighty Buildings,United States,Marketplace,22000000,Series B,21-Jul
Breakr,United States,Marketplace,4200000,Seed,21-Jul
talkshoplive,United States,Media,6000000,Seed,21-Jul
Popshop Live,United States,Media,20000000,Series A,21-Jul
Embark,United States,Pets,75000000,Series B,21-Jul
PsiQuantum,United States,Quantum Computing,450000000,Series D,21-Jul
Atom Computing,United States,Quantum Computing,15000000,Series A,21-Jul
Morty,United States,Real Estate,25000000,Series B,21-Jul
Abodu,United States,Real Estate,20000000,Series A,21-Jul
RentSpree,United States,Real Estate,8000000,Series A,21-Jul
Cape Analytics,United States,Real Estate,44000000,Series C,21-Jul
SmartRecruiters,United States,Recruiting,110000000,Series E,21-Jul
Censia,United States,Recruiting,21000000,Series A,21-Jul
Instawork,United States,Recruiting,60000000,Series C,21-Jul
inVia Robotics,United States,Robotics,30000000,Series C,21-Jul
HaptX,United States,Robotics,12000000,Series A,21-Jul
Path Robotics,United States,Robotics,100000000,Series C,21-Jul
Veo,United States,Transportation,16000000,Series A,21-Jul
Simpplr,United States,Transportation,32000000,Series C,21-Jul
Blocknative,United States,Travel,12000000,Series A,21-Jul
Miles,United States,Travel,12500000,Series A,21-Jul
ICON,United States,3D,207000000,Series B,21-Aug
Sound Agriculture,United States,Agriculture,45000000,Series C,21-Aug
Regrow Ag,United States,Agriculture,23500000,Series A,21-Aug
80 Acres Farms,United States,Agriculture,160000000,Series B,21-Aug
Biome Makers,United States,Agriculture,15000000,Series B,21-Aug
Databricks,United States,Artificial Intelligence,1600000000,Series H,21-Aug
Dataiku,United States,Artificial Intelligence,400000000,Series E,21-Aug
Talkdesk,United States,Artificial Intelligence,230000000,Series D,21-Aug
Snorkel AI,United States,Artificial Intelligence,85000000,Series C,21-Aug
Latent AI,United States,Artificial Intelligence,19000000,Series A,21-Aug
Workera,United States,Artificial Intelligence,16000000,Series A,21-Aug
People.ai,United States,Artificial Intelligence,100000000,Series D,21-Aug
Moises,United States,Artificial Intelligence,1600000,Seed,21-Aug
Shelf,United States,Artificial Intelligence,52500000,Series B,21-Aug
EarBuds,United States,Audio,3000000,Series A,21-Aug
Picsart,United States,Augmented Reality,130000000,Series C,21-Aug
Superhuman,United States,B2B Software,75000000,Series C,21-Aug
Hashnode,United States,B2B Software,6700000,Series A,21-Aug
Gusto,United States,B2B Software,175000000,Series E,21-Aug
Metabase,United States,B2B Software,30000000,Series B,21-Aug
Ramp,United States,B2B Software,300000000,Series C,21-Aug
Seismic,United States,B2B Software,170000000,Series G,21-Aug
Bldup,United States,B2B Software,2000000,Pre-Seed,21-Aug
Hive,United States,B2B Software,10000000,Series B,21-Aug
MoEngage,United States,B2B Software,32500000,Funding,21-Aug
Entando,United States,B2B Software,11000000,Series B,21-Aug
Felt,United States,B2B Software,4500000,Seed,21-Aug
yellow.ai,United States,B2B Software,78150000,Series C,21-Aug
Refill,United States,B2B Software,1000000,Angel,21-Aug
Walnut,United States,B2B Software,15000000,Series A,21-Aug
Messari,United States,Blockchain,21000000,Series A,21-Aug
MakersPlace,United States,Blockchain,30000000,Series A,21-Aug
NearPad,United States,Blockchain,2500000,Seed,21-Aug
Offchain Labs,United States,Blockchain,100000000,Series B,21-Aug
Parallel Finance,United States,Blockchain,22000000,Series A,21-Aug
Syndicate,United States,Blockchain,20000000,Series A,21-Aug
Mudrex,United States,Blockchain,2500000,Seed,21-Aug
Royal,United States,Blockchain,16000000,Seed,21-Aug
TaxBit,United States,Blockchain,130000000,Series B,21-Aug
UniWhales,United States,Blockchain,2200000,Seed,21-Aug
Liquality,United States,Blockchain,7000000,Seed,21-Aug
ZenLedger,United States,Blockchain,6000000,Series A,21-Aug
Horizen Labs,United States,Blockchain,7000000,Seed,21-Aug
Onramp Invest,United States,Blockchain,6000000,Seed,21-Aug
Ondo Finance,United States,Blockchain,4000000,Seed,21-Aug
FalconX,United States,Blockchain,210000000,Series C,21-Aug
Exactly,United States,Blockchain,3000000,Seed,21-Aug
Bitwave,United States,Blockchain,7250000,Seed,21-Aug
Grafana Labs,United States,Cloud Computing,220000000,Series C,21-Aug
Postman,United States,Cloud Computing,225000000,Series D,21-Aug
WeSpire,United States,Cloud Computing,13000000,Series B,21-Aug
Figment,United States,Cloud Computing,50000000,Series B,21-Aug
Alpaca,United States,Cloud Computing,50000000,Series B,21-Aug
Fig,United States,Cloud Computing,2200000,Seed,21-Aug
FullStory,United States,Cloud Computing,103000000,Series D,21-Aug
LaunchDarkly,United States,Cloud Computing,200000000,Series D,21-Aug
OwnBackup,United States,Cloud Computing,240000000,Series E,21-Aug
Nirmata,United States,Cloud Computing,4000000,Seed,21-Aug
Knoetic,United States,Cloud Computing,18000000,Series A,21-Aug
Kinvolved,United States,Cloud Computing,250000,Seed,21-Aug
Split Software,United States,Cloud Computing,50000000,Series D,21-Aug
Prifina,United States,Cloud Computing,1000000,Pre-Seed,21-Aug
andros,United States,Cloud Computing,12500000,Series B,21-Aug
Pensando,United States,Cloud Computing,35000000,Series C,21-Aug
HAAS Alert,United States,Cloud Computing,5000000,Seed,21-Aug
FireHydrant,United States,Cloud Computing,23000000,Series B,21-Aug
Tulip Interfaces,United States,Cloud Computing,100000000,Series C,21-Aug
Origin,United States,Cloud Computing,56000000,Series B,21-Aug
Snap! Raise,United States,Community,90000000,Series B,21-Aug
Revel,United States,Community,3500000,Seed,21-Aug
CertiK,United States,Cyber Security,24000000,Series B,21-Aug
ReversingLabs,United States,Cyber Security,56000000,Series B,21-Aug
Nozomi Networks,United States,Cyber Security,100000000,Series D,21-Aug
Bluecore,United States,E-Commerce Software,125000000,Series E,21-Aug
Eight Sleep,United States,E-Commerce Store,86000000,Series C,21-Aug
quip,United States,E-Commerce Store,100000000,Series B,21-Aug
EBY,United States,E-Commerce Store,6000000,Series A,21-Aug
Product School,United States,Education,25000000,Growth,21-Aug
MindTickle,United States,Education,100000000,Series E,21-Aug
NoRedInk,United States,Education,50000000,Series B,21-Aug
Codelicious,United States,Education,3800000,Seed,21-Aug
Form Energy,United States,Energy,240000000,Series D,21-Aug
Bright Power,United States,Energy,24500000,Series B,21-Aug
LevelTen Energy,United States,Energy,35000000,Series C,21-Aug
Urbint,United States,Energy,60000000,Series C,21-Aug
TrustToken,United States,Finance,12500000,Seed,21-Aug
Pngme,United States,Finance,15000000,Series A,21-Aug
MobileCoin,United States,Finance,66000000,Series B,21-Aug
Branch,United States,Finance,48000000,Series B,21-Aug
Rapyd,United States,Finance,300000000,Series E,21-Aug
One,United States,Finance,40000000,Series B,21-Aug
Upgrade,United States,Finance,105000000,Series E,21-Aug
Sightline Payments,United States,Finance,244000000,Private Equity,21-Aug
InfStones,United States,Hardware,10000000,Series A,21-Aug
Bravely,United States,Human Resources,15000000,Series A,21-Aug
Human Interest,United States,Human Resources,200000000,Series D,21-Aug
Carta,United States,Investing,500000000,Series G,21-Aug
DriveWealth,United States,Investing,450000000,Series D,21-Aug
Aumni,United States,Investing,50000000,Series B,21-Aug
CapShift,United States,Investing,5000000,Series A,21-Aug
MINDSET,United States,Marketplace,8700000,Seed,21-Aug
Cent,United States,Marketplace,3000000,Seed,21-Aug
Vice Media,United States,Media,85000000,Private Equity,21-Aug
Betsperts,United States,Media,6000000,Series A,21-Aug
CreatorStack,United States,Media,2000000,Seed,21-Aug
Plant Prefab,United States,Real Estate,30000000,Series B,21-Aug
Brilliant,United States,Real Estate,40000000,Series B,21-Aug
Divvy,United States,Real Estate,200000000,Series D,21-Aug
Localize,United States,Real Estate,25000000,Series C,21-Aug
Bungalow,United States,Real Estate,75000000,Series C,21-Aug
Forage,United States,Recruiting,25000000,Series B,21-Aug
Talview,United States,Recruiting,15000000,Series B,21-Aug
Harri,United States,Recruiting,30000000,Private Equity,21-Aug
Cribl,United States,Recruiting,200000000,Series C,21-Aug
inVia Robotics,United States,Robotics,30000000,Series C,21-Aug
Reddit,United States,Social Network,410000000,Series F,21-Aug
Clay,United States,Social Network,8000000,Seed,21-Aug
Hologram,United States,Telecommunications,65000000,Series B,21-Aug
Teleport,United States,Telecommunications,30000000,Series B,21-Aug
Apollo,United States,Transportation,130000000,Series D,21-Aug
HopSkipDrive,United States,Transportation,25000000,Series C,21-Aug
Gatik,United States,Transportation,85000000,Series B,21-Aug
Wheel the World,United States,Travel,2000000,Seed,21-Aug
TurnoverBnB,United States,Travel,4500000,Series A,21-Aug
Maven Clinic,United States,Wellness,110000000,Series D,21-Aug
Wynd Technologies,United States,Wellness,10000000,Series A,21-Aug
FLYR Labs,United States,Aerospace,150000000,Series C,21-Sep
Near Space Labs,United States,Aerospace,13000000,Series A,21-Sep
GrubMarket,United States,Agriculture,120000000,Series E,21-Sep
Iron Ox,United States,Agriculture,53000000,Series C,21-Sep
Ceres Imaging,United States,Agriculture,23000000,Series C,21-Sep
Burro,United States,Agriculture,10900000,Series A,21-Sep
IntelinAir,United States,Agriculture,20000000,Series B,21-Sep
Steward,United States,Agriculture,8800000,Series A,21-Sep
Kodezi,United States,Artificial Intelligence,1000000,Pre-Seed,21-Sep
Nextiva,United States,Artificial Intelligence,200000000,Private Equity,21-Sep
Kore.ai,United States,Artificial Intelligence,50000000,Series C,21-Sep
AlphaSense,United States,Artificial Intelligence,180000000,Series C,21-Sep
GoodCall.com,United States,Artificial Intelligence,4000000,Seed,21-Sep
GenesisAI,United States,Artificial Intelligence,2500000,Series A,21-Sep
BLACKBIRD.AI,United States,Artificial Intelligence,10000000,Series A,21-Sep
Humanly.io,United States,Artificial Intelligence,4200000,Seed,21-Sep
Imandra,United States,Artificial Intelligence,5000000,Seed,21-Sep
Callin,United States,Audio,12000000,Series A,21-Sep
RedCircle,United States,Audio,6000000,Series A,21-Sep
Anima App,United States,B2B Software,10000000,Series A,21-Sep
SpotOn,United States,B2B Software,300000000,Series E,21-Sep
ForMotiv,United States,B2B Software,6000000,Seed,21-Sep
The Org,United States,B2B Software,20000000,Series B,21-Sep
Pass It Down,United States,B2B Software,2000000,Seed,21-Sep
Fin.com,United States,B2B Software,20000000,Series A,21-Sep
Innovare,United States,B2B Software,3000000,Seed,21-Sep
PropelPLM,United States,B2B Software,20000000,Series C,21-Sep
Vowel,United States,B2B Software,13500000,Series A,21-Sep
SundaeSwap Labs,United States,Blockchain,1300000,Seed,21-Sep
Abra,United States,Blockchain,55000000,Series C,21-Sep
Ripio,United States,Blockchain,50000000,Series B,21-Sep
Cybertino Lab,United States,Blockchain,10000000,Seed,21-Sep
Roll,United States,Blockchain,10000000,Series A,21-Sep
Fuel Labs,United States,Blockchain,1500000,Seed,21-Sep
Recur,United States,Blockchain,50000000,Series A,21-Sep
SIMBA Chain,United States,Blockchain,25000000,Series A,21-Sep
Taker Protocol,United States,Blockchain,3000000,Seed,21-Sep
Amberdata,United States,Blockchain,15000000,Series A,21-Sep
Stardust,United States,Blockchain,5000000,Series A,21-Sep
Zero Hash,United States,Blockchain,35000000,Series C,21-Sep
Rocket Dollar,United States,Blockchain,8000000,Series A,21-Sep
fxdx exchange,United States,Blockchain,570000,Seed,21-Sep
Bubblehouse,United States,Blockchain,4000000,Pre-Seed,21-Sep
JumpCloud,United States,Cloud Computing,159000000,Series F,21-Sep
SingleStore,United States,Cloud Computing,80000000,Series F,21-Sep
Code Climate,United States,Cloud Computing,50000000,Series C,21-Sep
Civis Analytics,United States,Cloud Computing,30700000,Series B,21-Sep
RemNote,United States,Cloud Computing,3000000,Seed,21-Sep
Almanac,United States,Cloud Computing,34000000,Series A,21-Sep
Botify,United States,Cloud Computing,55000000,Series C,21-Sep
Amagi Media Labs,United States,Cloud Computing,100000000,Private Equity,21-Sep
Fivetran,United States,Cloud Computing,565000000,Series D,21-Sep
ClickHouse,United States,Cloud Computing,50000000,Series A,21-Sep
Copado,United States,Cloud Computing,140000000,Series C,21-Sep
Materialize,United States,Cloud Computing,60000000,Series C,21-Sep
Sisu,United States,Cloud Computing,62000000,Series C,21-Sep
Aviatrix,United States,Cloud Computing,200000000,Series E,21-Sep
StreamNative,United States,Cloud Computing,23700000,Series A,21-Sep
CreatorIQ,United States,Cloud Computing,40000000,Series D,21-Sep
Saviynt,United States,Cloud Computing,130000000,Private Equity,21-Sep
3Gtms,United States,Cloud Computing,15000000,Private Equity,21-Sep
Loft Labs,United States,Cloud Computing,4600000,Seed,21-Sep
Vodori,United States,Cloud Computing,7500000,Series A,21-Sep
Postal.io,United States,Cloud Computing,22000000,Series B,21-Sep
CodeSee,United States,Cloud Computing,3000000,Seed,21-Sep
Omaze,United States,Consumer,85000000,Series C,21-Sep
Totango,United States,Consumer,100000000,Series D,21-Sep
Snyk,United States,Cyber Security,530000000,Series F,21-Sep
Corelight,United States,Cyber Security,75000000,Series D,21-Sep
Kolide,United States,Cyber Security,17000000,Series B,21-Sep
Panorays,United States,Cyber Security,42000000,Series B,21-Sep
DroneSeed,United States,Drones,36000000,Series A,21-Sep
NTWRK,United States,E-Commerce Software,50000000,Series B,21-Sep
Immerss,United States,E-Commerce Software,1100000,Seed,21-Sep
Grailed,United States,E-Commerce Store,60000000,Series B,21-Sep
Cotopaxi,United States,E-Commerce Store,45000000,Series C,21-Sep
Printify,United States,E-Commerce Store,45000000,Series A,21-Sep
Joy,United States,E-Commerce Store,20000000,Series A,21-Sep
Panorama Education,United States,Education,60000000,Series C,21-Sep
Fiveable,United States,Education,10000000,Series A,21-Sep
MaestroQA,United States,Education,25000000,Series A,21-Sep
6AM City,United States,Education,5000000,Series A,21-Sep
Arcadia,United States,Energy,100000000,Series D,21-Sep
EcoFlow,United States,Energy,9595000,Crowdfunding,21-Sep
Lilac Solutions,United States,Energy,150000000,Series B,21-Sep
SunShare,United States,Energy,30000000,Private Equity,21-Sep
Varo Money,United States,Finance,510000000,Series E,21-Sep
dash.fi,United States,Finance,3200000,Seed,21-Sep
Zebedee,United States,Finance,11500000,Series A,21-Sep
Melio,United States,Finance,250000000,Series D,21-Sep
Sendoso,United States,Finance,100000000,Series C,21-Sep
Point Card,United States,Finance,46500000,Series B,21-Sep
Alloy,United States,Finance,100000000,Series C,21-Sep
Jeeves,United States,Finance,57000000,Series B,21-Sep
Revenue Grid,United States,Finance,20000000,Series A,21-Sep
Built Technologies,United States,Finance,125000000,Series D,21-Sep
TomoCredit,United States,Finance,10000000,Series A,21-Sep
HUNGRY,United States,Food and Beverage,21000000,Series C,21-Sep
Ripple Foods,United States,Food and Beverage,60000000,Series E,21-Sep
Perfect Day,United States,Food and Beverage,350000000,Series D,21-Sep
Misfits Market,United States,Food and Beverage,225000000,Series C,21-Sep
CookUnity,United States,Food and Beverage,47000000,Series B,21-Sep
New Age Meats,United States,Food and Beverage,25000000,Series A,21-Sep
Calysta,United States,Food and Beverage,39000000,Series D,21-Sep
Biftek,United States,Food and Beverage,12500000,Seed,21-Sep
Sleeper,United States,Gaming,40000000,Series C,21-Sep
HomeCourt,United States,Gaming,25000000,Series B,21-Sep
Press Sports App,United States,Gaming,1500000,Seed,21-Sep
ProbablyMonsters,United States,Gaming,200000000,Series A,21-Sep
PredictionStrike,United States,Gaming,1700000,Seed,21-Sep
Elodie Games,United States,Gaming,32500000,Series A,21-Sep
Catalog,United States,Hardware,35000000,Series B,21-Sep
NOCD,United States,Health Care,33000000,Series B,21-Sep
Mammoth Biosciences,United States,Health Care,150000000,Series D,21-Sep
Emulate,United States,Health Care,82000000,Series E,21-Sep
Pager,United States,Health Care,70000000,Series C,21-Sep
Xealth,United States,Health Care,24000000,Series B,21-Sep
Solugen,United States,Health Care,350000000,Series C,21-Sep
Meru Health,United States,Health Care,30000000,Series B,21-Sep
Affinity,United States,Health Care,80000000,Series C,21-Sep
Height,United States,Human Resources,14000000,Series A,21-Sep
Syndio Solutions,United States,Human Resources,50000000,Series C,21-Sep
Insurify,United States,Insurance,100000000,Series B,21-Sep
Sureify,United States,Insurance,15000000,Series C,21-Sep
BriteCore,United States,Insurance,20000000,Series C,21-Sep
Homee,United States,Insurance,17000000,Series B,21-Sep
Prysm,United States,Investing,3000000,Seed,21-Sep
XMargin,United States,Investing,8000000,Series A,21-Sep
Stord,United States,Logistics,90000000,Series D,21-Sep
aPriori Technologies,United States,Manufacturing,30000000,Series D,21-Sep
RCRDSHP,United States,Marketplace,5000000,Seed,21-Sep
Pacaso,United States,Real Estate,125000000,Series C,21-Sep
Blueground,United States,Real Estate,140000000,Series C,21-Sep
Landed,United States,Real Estate,31000000,Series B,21-Sep
Measurabl,United States,Real Estate,50000000,Series C,21-Sep
DoorLoop,United States,Real Estate,10000000,Seed,21-Sep
Andela,United States,Recruiting,200000000,Series E,21-Sep
CodeSignal,United States,Recruiting,50000000,Series C,21-Sep
Checkr,United States,Recruiting,250000000,Series E,21-Sep
New Apprenticeship,United States,Recruiting,2500000,Seed,21-Sep
Gem,United States,Recruiting,100000000,Series C,21-Sep
Locus Robotics,United States,Robotics,50000000,Series E,21-Sep
Discord,United States,Social Network,500000000,Series H,21-Sep
Qwilt,United States,Telecommunications,70000000,Series E,21-Sep
SmarterTravel,United States,Travel,9500000,Series B,21-Sep
Headout,United States,Travel,12000000,Series B,21-Sep
